"Collection Name","Title#1","Title Type#1","Name#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Date Created#1","Date Captured#1","Language Term#1","Language Term URI#1","Form#1","Form URI#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Physical Description Note#2","Abstract#1","Note#1","Note#2","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Related Item#1","Related Item Type#1","Related Item Identifier#1","Related Item#2","Related Item Type#2","Related Item Identifier#2","Related Item#3","Related Item Type#3","Related Item Identifier#3","Local Identifier#1","Persistent Identifier#1","Reference Identifier#1","Physical Location#1","Shelf Locator#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"CU Campus Building Collection","Aerial - University of Colorado - Boulder, Colorado","Devised","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","aerial photographs","http://vocab.getty.edu/page/aat/300128222","1952-10-25","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of a the stands in the University of Colorado Boulder's Stadium by H. Wieler.","","","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Stadiums","http://id.worldcat.org/fast/1131272","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b32ff2_stadium_001.tif","https://ark.colorado.edu/ark:/47540/204d1b0578gq","a18eeb794c48f3b1609c7d88fec0f32a","University of Colorado Boulder Libraries Archives","Box 32 | Folder 2","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","109","1255335","5423","narv_cumuseum_b32ff2_stadium_001.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~109~1255335"
"CU Campus Building Collection","Aerial - University of Colorado - Boulder, Colorado","Devised","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","aerial photographs","http://vocab.getty.edu/page/aat/300128222","[Undated]","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of a the stands and field in the University of Colorado Boulder's Stadium.","","","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Stadiums","http://id.worldcat.org/fast/1131272","","","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b32ff2_stadium_003.tif","https://ark.colorado.edu/ark:/47540/x59f8494k80q","a18eeb794c48f3b1609c7d88fec0f32a","University of Colorado Boulder Libraries Archives","Box 32 | Folder 2","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","110","1255336","5423","narv_cumuseum_b32ff2_stadium_003.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~110~1255336"
"CU Campus Building Collection","Baker Hall","Devised","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","architectural photography","http://vocab.getty.edu/page/aat/300435151","1938-01-31","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of Baker Hall at the University of Colorado Boulder.","Text on back of photograph: Recieved Jan 31 1938 Charles Z. Klauder Architect. Trautwein & Howard, Architects 1411 Walnut Street, Philadelphia, 2, PA. Mens dormitory. Univ of Colo. recieved May 29 1950 Trautwein & Howard.","","Buildings","http://id.worldcat.org/fast/840962","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Dormitories","http://id.worldcat.org/fast/896981","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b32ff5_bakerHall_003.tif","https://ark.colorado.edu/ark:/47540/0t788k34j6x0","5c6fbad1278565c1c8094503eab2da70","University of Colorado Boulder Libraries Archives","Box 32 | Folder 5","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","112","1255334","5423","narv_cumuseum_b32ff5_bakerHall_003.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~112~1255334"
"CU Campus Building Collection","Baker Hall","Devised","Walters, Floyd G., 1911-1992","http://id.loc.gov/authorities/names/no2016123998","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","architectural photography","http://vocab.getty.edu/page/aat/300435151","[Undated]","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of Baker Hall at the University of Colorado Boulder.","Text on back of photograph: Floyd G. Walters Photographic Dept. University of Colorado Boulder, Colorado. Trautein & Howard, Architects 1411 Walnut Street, Philadelphia 2, PA. Museum Sec. III Bx 7 Fd 19. Received May 29 1950 Trautwein & Howard.","","Buildings","http://id.worldcat.org/fast/840962","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Dormitories","http://id.worldcat.org/fast/896981","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b32ff5_bakerHall_005.tif","https://ark.colorado.edu/ark:/47540/1b440b28n2k3","5c6fbad1278565c1c8094503eab2da70","University of Colorado Boulder Libraries Archives","Box 32 | Folder 5","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","113","1255333","5423","narv_cumuseum_b32ff5_bakerHall_005.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~113~1255333"
"CU Campus Building Collection","Baker Hall interior","Devised","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","architectural photography","http://vocab.getty.edu/page/aat/300435151","1938-01-31","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of an interior dorm room in Baker Hall at the University of Colorado Boulder.","Text on back of photograph: Study bedroom. Mens dormitory. Univ of Colo.","","Buildings","http://id.worldcat.org/fast/840962","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Dormitories","http://id.worldcat.org/fast/896981","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b32ff5_bakerHall_001.tif","https://ark.colorado.edu/ark:/47540/b12g5d6792nn","5c6fbad1278565c1c8094503eab2da70","University of Colorado Boulder Libraries Archives","Box 32 | Folder 5","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","111","1255332","5423","narv_cumuseum_b32ff5_bakerHall_001.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~111~1255332"
"CU Campus Building Collection","Carlson Gym","Devised","Tangen, Ed, 1873-1951","http://id.loc.gov/authorities/names/nr94032004","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","architectural photography","http://vocab.getty.edu/page/aat/300435151","[Undated]","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of Carlson Men's Gym at the University of Colorado Boulder.","Text on back of photograph: No. 10669 Photo by ED TANGEN Boulder, Colorado. Museum Sec III Bx 7 Fd 23. Economics Building.","","Buildings","http://id.worldcat.org/fast/840962","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Gymnasiums","http://id.worldcat.org/fast/949578","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b33ff4_carlsonGym_001.tif","https://ark.colorado.edu/ark:/47540/xj7b6n3832h1","5b0bf01eb088488d19c423790a53d59e","University of Colorado Boulder Libraries Archives","Box 33 | Folder 4","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","138","1255307","5423","narv_cumuseum_b33ff4_carlsonGym_001.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~138~1255307"
"CU Campus Building Collection","Carpenter's Laboratory","Devised","Brackett, J. Raymond","http://id.loc.gov/authorities/names/no2011111940","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","","","[Undated]","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of the Carpenter?s Lab at the University of Colorado Boulder.","Text on front of photograph: Carpenter's lab. Brackett Photo. negative in C.U. Photo Service - Macky Auditorium.","","Buildings","http://id.worldcat.org/fast/840962","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Laboratories","http://id.worldcat.org/fast/990341","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b33ff1_laboratories_001.tif","https://ark.colorado.edu/ark:/47540/mw645q59d0ff","c378f6102bf7eba02ede25a10d9b2351","University of Colorado Boulder Libraries Archives","Box 33 | Folder 1","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","135","1255309","5423","narv_cumuseum_b33ff1_laboratories_001.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~135~1255309"
"CU Campus Building Collection","Cottages Nos. 1 and 2","Devised","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","architectural photography","http://vocab.getty.edu/page/aat/300435151","1888","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of the young ladies cottage at the University of Colorado Boulder. Pictured at seven women standing on the porch of the cottage.","Text on front of photograph: University - 1888. Parsons gift. Young Ladies College at State University, 1988.","Text on back of photograph: Duplicates filed in duplicate file. Museum Sec. III Bx 13c Folder 22","Buildings","http://id.worldcat.org/fast/840962","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Cottages","http://id.worldcat.org/fast/880849","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b32ff8_cottage1and2_001.tif","https://ark.colorado.edu/ark:/47540/qn5z0s8908fp","28cad21986eff5fc3990d30afee9c6c9","University of Colorado Boulder Libraries Archives","Box 32 | Folder 8","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","114","1255329","5423","narv_cumuseum_b32ff8_cottage1and2_001.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~114~1255329"
"CU Campus Building Collection","Cottages Nos. 1 and 2","Devised","Brackett, J. Raymond","http://id.loc.gov/authorities/names/no2011111940","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","architectural photography","http://vocab.getty.edu/page/aat/300435151","[Undated]","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of the young ladies cottage at the University of Colorado Boulder.","Text on front of photograph: cottage #2. Brackett Photo. neg. in Macky Auditorium- Photo Service.","","Buildings","http://id.worldcat.org/fast/840962","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Cottages","http://id.worldcat.org/fast/880849","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b32ff8_cottage1and2_005.tif","https://ark.colorado.edu/ark:/47540/bf7c5k73n4t8","28cad21986eff5fc3990d30afee9c6c9","University of Colorado Boulder Libraries Archives","Box 32 | Folder 8","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","116","1255330","5423","narv_cumuseum_b32ff8_cottage1and2_005.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~116~1255330"
"CU Campus Building Collection","Cottages Nos. 1 and 2","Devised","Brackett, J. Raymond","http://id.loc.gov/authorities/names/no2011111940","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","documentary photography","http://vocab.getty.edu/page/aat/300435151","architectural photography","http://vocab.getty.edu/page/aat/300435151","before late 1920s","2025","","","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","A photograph of the young ladies cottage at the University of Colorado Boulder.","Text on front of photograph: Women's cottage #2. Torndown in the late 1920's. Brackett Photo.","Text on back of photograph: CU Museum Collin III/13c/22.","Buildings","http://id.worldcat.org/fast/840962","Universities and colleges","http://id.worldcat.org/fast/1161597","College campuses","http://id.worldcat.org/fast/1740107","Cottages","http://id.worldcat.org/fast/880849","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","Boulder (Boulder, Colorado, United States, North and Central America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","","","","","","","","narv_cumuseum_b32ff8_cottage1and2_003.tif","https://ark.colorado.edu/ark:/47540/08875x24f1d0","28cad21986eff5fc3990d30afee9c6c9","University of Colorado Boulder Libraries Archives","Box 32 | Folder 8","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","115","1255331","5423","narv_cumuseum_b32ff8_cottage1and2_003.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~57~57~115~1255331"
